Lokawisata Baturraden,user,salah satu destinasi wisata yang recommended di kota Banyumas,4
New Small World,user,mantapp sangat cocok untuk wisata keluarga,5
Telaga Sunyi,user,sangat direkomendasikan bagi pecinta alam,5
Taman Mas Kemambang,user,sangat recommend untuk tempat hangout bersama teman,4
Taman Andhang Pangrenan,user,sangat cocok untuk rekreasi bersama keluarga,5
Curug Song,user,Mantapppppppppppppppppppp,5
Hutan Pinus Limpakuwus,user,niceeeeeee,5
Gallery Water karangmangu,user,tempat wisata air air recommend di banyumas,5
Curug Bayan,user,suasana di tempat ini sangat sejukk,4
Camp Area Umbul Bengkok (Caub),user,sangat cocok untuk menghabiskan waktu bersama keluarga atau teman,5
Taman Kera dan Masjid Saka Tunggal,budicpp,destinasi wisata yang sangat cocok bagi yang ingin mendekatkan diri kepada tuhan,5
Pertapan Geduren,budicpp,sangat cocok bagi pecinta sejarah,5
Wisata Religi Makam Mbah Atas Angin,budicpp,mantappp sangat recommend,5
Monumen Jendreal Soedirman,budicpp,sangat direkomendasikan bagi pecinta sejarah terutama sejarah kemerdekaan,5
Museum Wayang Sendang Mas Banyumas,budicpp,sangat cocok bagi penggiat seni budaya,5
Rumah Lengger Banyumas,budicpp,sangat cocok bagi penggiat seni budaya,5
Makam Joko Kaiman,budicpp,niceeee,5
Museum Bank BRI,budicpp,uang lebih manis daripada madu,3
Menara Pandang Teratai,budicpp,cocok untuk menikmati waktu bersama keluarga,4
Pasar Ragatali,budicpp,waduhhh uang saya habis buat beli barang barang disini,2
Pasar Ragatali,alexjava,mantappp bisa berenang sambil bertani,5
Gunung Batur,alexjava,sangat asriiii,4
Curug Telu,alexjava,sangat niceee,5
Bukit Pangonan Indah,alexjava,sangat nikmat untuk menenangkan pikiran,5
Gua Serwiti,alexjava,sangat panjanggg,3
Gua Damar,alexjava,sangat alamiiii,4
Wuwu Kembar,alexjava,cocok untuk untuk yang sudah berkeluarga dan tidak cocok untuk saya yang single,1
Grojogan Ratu,alexjava,air terjun setinggi harapan orang tua,4
Prawita garden,alexjava,mukbang buah slurrr,5
Agrowisata Karang Panginyongan,alexjava,sangat mengedukasi,5
New Small World,yantopython,Banyak miniatur yang bagus anak-anak sangat menyukainya,5
New Small World,arigolang,Pengalaman yang luar biasa melihat ikon dunia dalam satu tempat,4
New Small World,agusscript,Tempat yang edukatif dan menyenangkan,5
