Lokawisata Baturraden,Baturraden merupakan objek wisata yang terletak di kaki Gunung Slamet,Banyumas Jawa Tengah,07.00 - 16.00,20000,1,37291,1
New Small World,New Small World merupakan destinasi wisata yang menyediakan miniatur ikon terkenal di seluruh dunia,Purwokerto Jawa Tengah,08.00-16.00,20000,1,18627,2
Telaga Sunyi,Telaga sunyi merupakan destinasi wisata alam yang menawarkan pemandangan telaga dengan sebuah air terjun kecil,Banyumas Jawa Tengah,08.00 - 17.00,15000,1,24323,1
Taman Mas Kemambang,Taman Mas Kemambang merupakan wisata ruang terbuka hijau yang menyediakan kolam besar dan tempat bermain anak,Banyumas Jawa Tengah,07.00-21.00,2000,1,439746,1
Taman Andhang Pangrenan,Taman Andhang Pangrenan merupakan taman yang menyediakan tempat bersantai dan tempat bermain untuk anak-anak,Purwokerto Jawa Tengah,08.00 - 22.00,2500,1,77374,1
Curug Song,Curug Song merupakan sebuah air terjun dengan ketinggian 21 meter yang dikelilingi hutan pinus dan jati,Banyumas Jawa Tengah,07.00 - 22.00,10000,1,58728,1
Hutan Pinus Limpakuwus,Hutan pinus Limpakuwus merupakan destinasi wisata alam yang sangat cocok untuk menikmati suasana sejuk dan pemandangan hutan pinus yang indah,Banyumas Jawa Tengah,08.00 - 16.00,20000,1,249124,1
Gallery Water karangmangu,Gallery Water karangmangu merupakan destinasi wisata yang menawarkan spot foto underwater dan juga waterpark,Banyumas Jawa Tengah,08.00 - 18.00,15000,1,12980,1
Curug Bayan,Curug Bayan merupakan destinasi wisata air terjun di lereng Gunung Slamet yang menawarkan suasana sejuk,Banyumas Jawa Tengah,08.00 - 17.00,5000,1,63598,1
Camp Area Umbul Bengkok (Caub),Caub merupakan sebuah destinasi camping yang menawarkan pengalaman seru di tengah alam,Banyumas Jawa Tengah,24 Jam,80000,1,5661,1
Taman Kera dan Masjid Saka Tunggal,Taman Kera dan Masjid Saka Tunggal merupakan destinasi wisata religi dan edukasi yang terletak di Kabupaten Banyumas,Banyumas Jawa Tengah,24 Jam,5000,1,6535,2
Pertapan Geduren,Pertapan Geduren merupakan destinasi wisata yang menawarkan nilai sejarah mengenai goa yang dijadikan tempat pertapaan para leluhur,Banyumas Jawa Tengah,07.00 - 17.00,5000,1,1923,2
Wisata Religi Makam Mbah Atas Angin,Makam Mbah Atas Angin merupakan tempat ziarah yang populer bagi masyarakat di sekitar Banyumas dan sekitarnya,Banyumas Jawa Tengah,24 Jam,0,1,589,2
Monumen Jendreal Soedirman,Monumen Jendreal Soedirman merupakan destinasi wisata wajib bagi pecinta sejarah terutama sejarah kemerdekaan Indonesia,Banyumas Jawa Tengah,08.00 - 16.00,3000,1,99018,2
Museum Wayang Sendang Mas Banyumas,Museum Wayang Sendang Mas Banyumas merupakan destinasi wisata menampilkan koleksi wayang kulit Gagrag Banyumasan,Banyumas Jawa Tengah,08.00 - 14.00,5000,1,1392,3
Rumah Lengger Banyumas,Museum Lengger Banyumas merupakan sebuah sanggar seni dan museum yang didirikan untuk melestarikan dan mengembangkan seni tari Lengger Banyumasan,Banyumas Jawa Tengah,08.00 - 16.00,5000,1,100,3
Makam Joko Kaiman,Makam Joko Kaiman merupakan makam orang yang dihormati dan dihargai oleh masyarakat Banyumas karena kepemimpinannya yang adil dan bijaksana,Banyumas Jawa Tengah,07.00 - 17.00,0,1,4357,2
Museum Bank BRI,Museum Bank BRI merupakan museum yang sangat direkomendasian untuk para pecinta sejarah perbankan yang berisi koleksi benda bersejarah terkait sejarah bank BRI,Banyumas Jawa Tengah,08.00 - 16.00,5000,1,100,2
Menara Pandang Teratai,Menara Pandang Teratai merupakan bangunan menara pandang menyerupai bungan teratai yang didalamnya terdapat restoran dan ruang pameran budaya banyumas,Banyumas Jawa Tengah,07.00 - 22.00,20000,1,160619,3
Pasar Ragatali,Pasar Ragatali merupakan pusat penjualan berbagai macam produk tradisional seperti batik dan kerajinan tangan,Banyumas Jawa Tengah,08.00 - 17.00,0,1,1253,3
Pagubugan Melung,Pagubugan Melung merupakan destinasi wisata yang menawarkan sensasi berenang dengan pemandangan persawahan,Banyumas Jawa Tengah,07.30 - 16.00,10000,1,26910,1
Gunung Batur,Gunung Batur merupakan destinasi wisata yang menawarkan keindahan alam pegunungan yang asri dengan suasana yang tenang dan sejuk,Banyumas Jawa Tengah,24 Jam,5000,1,8196,1
Curug Telu,Curug Telu merupakan destinasi wisata yang menawarkan keindahan alam air terjun dengan hutan yang asri dan menenangkan,Banyumas Jawa Tengah,07.00 - 17.00,5000,1,16626,1
Bukit Pangonan Indah,Bukit Pangonan Indah merupakan destinasi wisata yang menawarkan panorama pegunungan Banyumas yang hijau dan asri terutama ketika mahatahari terbit atau terbenam,Banyumas Jawa Tengah,07.00 - 17.00,5000,1,18507,1
Gua Serwiti,Gua Serwiti merupakan salah satu gua terpanjang di Jawa Tengah dengan stalaktit dan aliran sungai bawah air yang indah,Banyumas Jawa Tengah,07.00 - 17.00,10000,1,431,1
Gua Damar,Gua Damar merupakan gua kapur yang terbentuk secara alami akibat proses pelarutan air hujan pada bebatuan kapur selama jutaan tahun,Banyumas Jawa Tengah,24 Jam,1,1,266,1
Wuwu Kembar,Wuwu Kembar merupakan destinasi wisata yang menawarkan berbagai fasilitasa seperti taman bermain dan kolam renang,Banyumas Jawa Tengah,08.00 - 17.00,15000,1,7871,1
Grojogan Ratu,Grojogan Ratu merupakan destinasi wisata air terjun dengan ketinggian 12 meter yang menawarkan pemandangan yang indah dan asri,Banyumas Jawa Tengah,07.00 - 17.00,5000,1,7558,1
Prawita garden,Prawita Garden merupakan destinasi wisata rekreasi yang menawarkan berbagai aktivitas seperti petik buah dan memanen madu,Banyumas Jawa Tengah,08.00 - 17.00,50000,1,766,1
Agrowisata Karang Panginyongan,Agrowisata Karang Panginyongan merupakan destinasi wisata edukasi yang menawarkan wahana berkebun dan kolam renang,Banyumas Jawa Tengah,08.00 - 17.00,10000,1,1441,1
